personID,name,dOB,pOB,height,weight,handedness,pid
1,Joel Quenneville,1958-09-15,"Windsor, Ontario",185,90,L,/coaches/quennjo01c.html
2,Bryan Bickell,1986-03-09,"Bowmanville, Ontario",193,101,L,b/bickebr01
3,Dave Bolland,1986-06-05,"Mimico, Ontario",183,83,R,b/bollada01
4,Brandon Bollig,1987-01-31,"St. Charles, Missouri",188,99,L,b/bollibr01
5,Sheldon Brookbank,1980-10-03,"Lanigan, Saskatchewan",185,91,R,b/brooksh01
6,Daniel Carcillo,1985-01-28,"King City, Ontario",183,90,L,c/carcida01
7,Corey Crawford,1984-12-31,"Montreal, Quebec",188,97,L,c/crawfco01
8,Ray Emery,1982-09-28,"Hamilton, Ontario",188,88,L,e/emeryra01
9,Michael Frolik,1988-02-17,"Kladno, Czechoslovakia",185,86,L,f/frolimi01
10,Michal Handzus,1977-03-11,"Banska Bystrica, Czechoslovakia",196,97,L,h/handzmi01
11,Jimmy Hayes,1989-11-21,"Dorchester, Massachusetts",196,97,R,h/hayesji01
12,Niklas Hjalmarsson,1987-06-06,"Eksjo, Sweden",190,89,L,h/hjalmni01
13,Marian Hossa,1979-01-12,"Stara Lubovna, Czechoslovakia",185,93,L,h/hossama01
14,Carter Hutton,1985-12-19,"Thunder Bay, Ontario",183,94,L,h/huttoca01
15,Patrick Kane,1988-11-19,"Buffalo, New York",178,80,L,k/kanepa01
16,Duncan Keith,1983-07-16,"Winnipeg, Manitoba",185,87,L,k/keithdu01
17,Marcus Kruger,1990-05-27,"Stockholm, Sweden",183,84,L,k/krugema01
18,Shawn Lalonde,1990-03-10,"Ottawa, Ontario",185,92,R,l/lalonsh01
19,Drew LeBlanc,1989-06-29,"Duluth, Minnesota",183,88,None,l/lebladr01
20,Nick Leddy,1991-03-20,"Eden Prairie, Minnesota",183,93,L,l/leddyni01
21,Jamal Mayers,1974-10-24,"Toronto, Ontario",185,100,R,m/mayerja01
22,Jeremy Morin,1991-04-16,"Auburn, New York",185,85,R,m/morinje01
